|ID|CLASE
0|44198C2A811A4DF4|OTHER
1|216F638609E0E39E|RETAIL
2|FFFCEFB11E257364|OTHER
3|596C5C8CE10BCF|OFFICE
4|F931B9FA2A8641D1|INDUSTRIAL
5|40DAB608E9BB39DD|OTHER
6|B2B65732D8736C6C|OFFICE
7|BB69C4F75EF7BF6D|RESIDENTIAL
8|73877546C8B7D956|RETAIL
9|228E4D7314BC2839|INDUSTRIAL
10|551BFF44309E8B18|INDUSTRIAL
11|B18FB9ABFEFF7CD1|RESIDENTIAL
12|C2C4DA06F625CEA8|INDUSTRIAL
13|762B30B5130B6EF3|OFFICE
14|5A0A7A3E79CA448C|INDUSTRIAL
15|97C0B6CDEA7B8D0F|INDUSTRIAL
16|556F2DA6F9A4C36E|PUBLIC
17|733C1A5A045EAB7E|PUBLIC
18|01B39106F8199EDC|INDUSTRIAL
19|CB0A22127EE6A0E0|RESIDENTIAL
20|8DDEDCAAABFC44E5|PUBLIC
21|48E25C9D9F11A229|RESIDENTIAL
22|0B8310A5B2D2A6A2|INDUSTRIAL
23|EA301094DE57B7DD|RETAIL
24|A24D46FCA46905C8|RETAIL
25|B20C4F1B162D430C|PUBLIC
26|0174018F3B1A3F5F|PUBLIC
27|F0B5F20AC6B02E4A|INDUSTRIAL
28|05D1FE3F4A1D5CEA|INDUSTRIAL
29|7BA9128D5A358FCE|RESIDENTIAL
30|03895F2C845CDBFF|OFFICE
31|9CB19C34D02BCA4F|RETAIL
32|CF2D749706DDABC2|PUBLIC
33|A01E3A04BB2F0989|INDUSTRIAL
34|9C13E8F4ADCA11D3|RESIDENTIAL
35|4C9BADC1E986D2C8|OFFICE
36|E7C9F0A4178A765A|PUBLIC
37|0DDA3C640326115C|INDUSTRIAL
38|104E559538FC8C0D|INDUSTRIAL
39|A2FF533730AD840E|OFFICE
40|1B394C868FF68108|RETAIL
41|EDB86BB956709795|PUBLIC
42|E4EC6393BB492769|OFFICE
43|DA23ED25C1A9789B|PUBLIC
44|9B06B0E0E7357A22|INDUSTRIAL
45|8E6E0519543D41E2|INDUSTRIAL
46|53EED3B45BE4EA64|PUBLIC
47|D10F0343FA74B6|OFFICE
48|7F56D8BFAF3303EC|OTHER
49|2D48658754EFA0BC|INDUSTRIAL
50|F92C00DEEE799A42|PUBLIC
51|FF74AF4441E90C03|OTHER
52|B1D4373A1C719FD1|OFFICE
53|B6CE765A8E7A2FE7|INDUSTRIAL
54|CE9D81FE183DF999|INDUSTRIAL
55|171A312B7AD2394C|INDUSTRIAL
56|D22752FD82177146|OFFICE
57|B1A961E398E237C7|OFFICE
58|6E5ABA601EB9A85D|INDUSTRIAL
59|4D68BC331EFAE966|RESIDENTIAL
60|D9309E0A3DC516A4|INDUSTRIAL
61|04AEF97CA58C362F|RESIDENTIAL
62|5E4389AE6B257119|INDUSTRIAL
63|11C653C9EAF2C4CB|INDUSTRIAL
64|66778E2B148E43F0|OFFICE
65|FF1E074A84283E2B|INDUSTRIAL
66|3BA76425065ED7CC|OFFICE
67|AC5A270BB16F0ED5|OTHER
68|C0535F2C74D7DFE3|PUBLIC
69|4F2E5B2CDC3D239A|INDUSTRIAL
70|FFE91C403DD6BCF9|INDUSTRIAL
71|88CA5C2350E14F50|OFFICE
72|F07989CF3B4FFDF1|INDUSTRIAL
73|BD67A587F0279D14|INDUSTRIAL
74|350D8686A41ADCAC|OFFICE
75|7E49AE1764086B4C|PUBLIC
76|08F99656E92FF153|PUBLIC
77|C6DFA08ABC80588D|RESIDENTIAL
78|3CEE5E687FCA15A7|INDUSTRIAL
79|BFE0B5CC88E0899B|RETAIL
80|71CFE483D3FECCEB|PUBLIC
81|9E94E4F3085164A4|OTHER
82|AAD54144264D0146|AGRICULTURE
83|AAEE1D10664C781C|PUBLIC
84|A7BF21A672136357|PUBLIC
85|B556FBD4BC87B9FE|INDUSTRIAL
86|DA6F77DC8911A61A|INDUSTRIAL
87|105AF8B5025C0598|INDUSTRIAL
88|E0FF25C6B54B6054|RETAIL
89|CA74163307EC3146|INDUSTRIAL
90|51B0F4A3D8B980CF|INDUSTRIAL
91|940DE33AF9608273|OFFICE
92|B4541566FBA35AC2|INDUSTRIAL
93|F49579BFE230985D|INDUSTRIAL
94|4DA69825FECF30BB|RESIDENTIAL
95|419F62E6ED0B7F20|INDUSTRIAL
96|D9F163FD5EF0FFF4|PUBLIC
97|F0ECCBD4B0D060ED|RESIDENTIAL
98|7DBA26495E09B4B3|INDUSTRIAL
99|85435798BDBD7CB8|INDUSTRIAL
100|A5209810A787509C|PUBLIC
101|773B7F04B4F4FDED|OFFICE
102|480945FEB5AC0A12|RESIDENTIAL
103|24FB7AD1903196B9|RETAIL
104|99DE281F7F23D7B4|OTHER
105|67429A9AA86C1226|INDUSTRIAL
106|358E2914FBD3A397|OTHER
107|A5D0D624DACB7263|INDUSTRIAL
